Name,Subcategory 1,Category,Image,Store,Price,Description,Weight
Макароны СОЮЗПИЩЕПРОМ Спагетти тонкие,Макаронные Изделия,Бакалея,/images/spaghetti_souzpischeprom.jpg,Ramstore,137,"Страна РК и СНГ
ТМ Союзпищепром
Разновидность Спагетти",500 г
"Макароны СУЛТАН ""Особые Улитки""",Макаронные Изделия,Бакалея,/images/ulitki_sultan.jpg,Green,119,"Состав продукта: мука высшего сорта из твердой пшеницы, вода. Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта: 
Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года. Производитель: Компания «Султан Маркетинг», РК.",400 г
"Макароны СУЛТАН ""Особые Улитки""",Макаронные Изделия,Бакалея,/images/ulitki_sultan.jpg,Magnum,120,"Состав продукта: мука высшего сорта из твердой пшеницы, вода. Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта: 
Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года. Производитель: Компания «Султан Маркетинг», РК.",400 г
"Макароны СУЛТАН ""Особые Улитки""",Макаронные Изделия,Бакалея,/images/ulitki_sultan.jpg,Galmart,125,"Состав продукта: мука высшего сорта из твердой пшеницы, вода. Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта: 
Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года. Производитель: Компания «Султан Маркетинг», РК.",400 г
"Макароны СУЛТАН ""Особые Улитки""",Макаронные Изделия,Бакалея,/images/ulitki_sultan.jpg,Ramstore,123,"Состав продукта: мука высшего сорта из твердой пшеницы, вода. Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта: 
Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года. Производитель: Компания «Султан Маркетинг», РК.",400 г
Макароны GRAND di Pasta Улитки,Макаронные Изделия,Бакалея,/images/ulitki_granddipasta.jpg,Green,255,"Страна Италия
ТМ Grand Di Pasta
Разновидность Улитки",500 г
Макароны GRAND di Pasta Улитки,Макаронные Изделия,Бакалея,/images/ulitki_granddipasta.jpg,Magnum,255,"Страна Италия
ТМ Grand Di Pasta
Разновидность Улитки",500 г
Макароны GRAND di Pasta Улитки,Макаронные Изделия,Бакалея,/images/ulitki_granddipasta.jpg,Galmart,253,"Страна Италия
ТМ Grand Di Pasta
Разновидность Улитки",500 г
Макароны GRAND di Pasta Улитки,Макаронные Изделия,Бакалея,/images/ulitki_granddipasta.jpg,Ramstore,260,"Страна Италия
ТМ Grand Di Pasta
Разновидность Улитки",500 г
Чай AHMAD TEA Ceylon Tea B O P1 листовой черный,Чай,Чай. Кофе. Какао,/images/tea_ahmad_black.jpg,Green,835,"Производитель Ahmad
Сорт Черный
Упаковка Листовой
Происхождение Цейлонский",250 г
